FileName,WellId,Sample Description,From [bp],To [bp],Average Size [bp],Conc. [ng/l],Region Molarity [nmol/l],% of Total
AF_nodil_11.5.15.D1000,A1,1,150,900,368,22.1,96.7,93.19
AF_nodil_11.5.15.D1000,B1,2,150,900,370,13.5,58.8,91.04
AF_nodil_11.5.15.D1000,C1,3,150,900,376,23.3,100,93.93
AF_nodil_11.5.15.D1000,D1,4,150,900,368,14.3,62.8,90.75
AF_nodil_11.5.15.D1000,E1,5,150,900,382,18.9,80.2,94.07
AF_nodil_11.5.15.D1000,F1,6,150,900,374,14,60.4,91.89
AF_nodil_11.5.15.D1000,G1,7,150,900,366,13,57.5,91.92
AF_nodil_11.5.15.D1000,H1,8,150,900,366,18.4,80.8,94.06
AF_nodil_11.5.15.D1000,A2,9,150,900,386,4.99,21,81.81
AF_nodil_11.5.15.D1000,B2,10,150,900,389,6.44,27.1,86.18
AF_nodil_11.5.15.D1000,C2,11,150,900,350,21.9,101,93.2
AF_nodil_11.5.15.D1000,D2,12,150,900,366,11.2,49.6,88.2
AF_nodil_11.5.15.D1000,E2,14,150,900,371,33.9,147,96.24
AF_nodil_11.5.15.D1000,F2,15,150,900,366,19.9,87.8,92.63
AF_nodil_11.5.15.D1000,G2,16,150,900,357,22,99.1,94.69
AF_nodil_11.5.15.D1000,H2,17,150,900,369,21,91.6,94.24
AF_nodil_11.5.15.D1000,A3,18,150,900,377,11.8,51,91.84
AF_nodil_11.5.15.D1000,B3,19,150,900,384,17.8,75.8,93.7
AF_nodil_11.5.15.D1000,C3,20,150,900,391,14.9,62,90.69
AF_nodil_11.5.15.D1000,D3,21,150,900,397,7.27,29.9,83.32
AF_nodil_11.5.15.D1000,E3,22,150,900,392,12.8,53.5,91.03
AF_nodil_11.5.15.D1000,F3,23,150,900,401,6.88,28.1,84.71
AF_nodil_11.5.15.D1000,G3,24,150,900,396,9.01,37,88.06
AF_nodil_11.5.15.D1000,H3,25,150,900,392,11,45.7,90.65
AF_nodil_11.5.15.D1000,A4,26,150,900,316,7.45,37.9,88.31
AF_nodil_11.5.15.D1000,B4,27,150,900,387,13.2,56,90.85
AF_nodil_11.5.15.D1000,C4,28,150,900,432,13.3,50.7,87.44
AF_nodil_11.5.15.D1000,D4,29,150,900,480,10.3,35.2,87.92
AF_nodil_11.5.15.D1000,E4,30,150,900,410,10.6,42.5,87.2
AF_nodil_11.5.15.D1000,F4,31,150,900,404,9.37,38,87.86
AF_nodil_11.5.15.D1000,G4,32,150,900,401,11.3,45.9,88.51
AF_nodil_11.5.15.D1000,H4,33,150,900,399,13.1,53.4,92
AF_nodil_11.5.15.D1000,A5,34,150,900,345,18.6,86.3,94.82
AF_nodil_11.5.15.D1000,B5,35,150,900,328,16.2,79.6,94.06
AF_nodil_11.5.15.D1000,C5,36,150,900,344,23.6,111,94.15
AF_nodil_11.5.15.D1000,D5,37,150,900,346,8.41,39.3,86.41
AF_nodil_11.5.15.D1000,E5,38,150,900,368,28,123,95.52
AF_nodil_11.5.15.D1000,F5,39,150,900,374,13,56.3,91.04
AF_nodil_11.5.15.D1000,G5,40,150,900,374,13,56.1,91.71
AF_nodil_11.5.15.D1000,H5,41,150,900,369,8.78,38.6,88.3
AF_nodil_11.5.15.D1000,A6,42,150,900,374,8.1,35,85.86
AF_nodil_11.5.15.D1000,B6,43,150,900,353,13,59.8,91.86
AF_nodil_11.5.15.D1000,C6,44,150,900,383,17.2,73.5,89.07
AF_nodil_11.5.15.D1000,D6,45,150,900,344,6.52,30.7,84.66
AF_nodil_11.5.15.D1000,E6,47,150,900,361,11.1,50,89.82
AF_nodil_11.5.15.D1000,F6,48,150,900,356,16.1,73,94.04
AF_nodil_11.5.15.D1000,G6,50,150,900,360,12.7,56.6,91.72
AF_nodil_11.5.15.D1000,H6,51,150,900,362,9.4,42.1,89.46
AF_nodil_11.5.15.D1000,A7,52,150,900,366,3.14,13.9,74.16
AF_nodil_11.5.15.D1000,B7,53,150,900,352,6.07,27.9,85.08
AF_nodil_11.5.15.D1000,C7,55,150,900,368,6.43,28.3,81.55
AF_nodil_11.5.15.D1000,D7,56,150,900,376,6.58,28.3,82.74
AF_nodil_11.5.15.D1000,E7,57,150,900,376,10.9,47,89.66
AF_nodil_11.5.15.D1000,F7,58,150,900,374,10.4,45,88.98
AF_nodil_11.5.15.D1000,G7,59,150,900,383,7.84,33.1,86.06
AF_nodil_11.5.15.D1000,H7,60,150,900,394,11.6,47.5,90.79
AF_nodil_11.5.15.D1000,A8,61,150,900,394,12.4,50.7,91.62
AF_nodil_11.5.15.D1000,B8,62,150,900,396,8.77,35.8,86.65
AF_nodil_11.5.15.D1000,C8,63,150,900,397,6.45,26.3,82.39
AF_nodil_11.5.15.D1000,D8,64,150,900,388,7.96,33.1,86.76
AF_nodil_11.5.15.D1000,E8,65,150,900,386,7.38,30.8,86.05
AF_nodil_11.5.15.D1000,F8,66,150,900,387,7.17,30,85.72
AF_nodil_11.5.15.D1000,G8,67,150,900,377,6.68,28.6,87.55
AF_nodil_11.5.15.D1000,H8,68,150,900,374,7.23,31.4,86.51
