smp.name,Index,lib_size,Pool,lane_number
44i,9,431,Y4,10
33j,10,398,Y4,10
66k,11,372,Y4,10
105l,12,411,Y4,10
36m,13,393,Y4,10
65n,14,412,Y4,10
45o,15,400,Y4,10
10p,16,394,Y4,10
2q,18,408,Y4,10
43r,19,399,Y4,10
49s,20,421,Y4,10
135t,21,400,Y4,10
109u,22,406,Y4,10
74v,23,420,Y4,10
52w,25,415,Y4,10
29x,27,398,Y4,10
56a,1,429,Y5,11
32b,2,414,Y5,11
136c,3,411,Y5,11
112d,4,445,Y5,11
25e,5,416,Y5,11
130f,6,429,Y5,11
34g,7,399,Y5,11
28h,8,418,Y5,11
134i,9,377,Y5,11
103j,10,425,Y5,11
79k,11,401,Y5,11
96l,12,427,Y5,11
98m,13,372,Y5,11
76n,14,431,Y5,11
119o,15,408,Y5,11
97p,16,407,Y5,11
55q,18,421,Y5,11
114r,19,401,Y5,11
83s,20,429,Y5,11
99t,21,428,Y5,11
140u,22,403,Y5,11
5v,23,380,Y5,11
144w,25,435,Y5,11
11x,27,410,Y5,11
31a,1,389,Y6,12
72b,2,414,Y6,12
113c,3,426,Y6,12
63d,4,372,Y6,12
57e,5,363,Y6,12
93f,6,367,Y6,12
142g,7,419,Y6,12
20h,8,393,Y6,12
88i,9,426,Y6,12
137j,10,432,Y6,12
102k,11,399,Y6,12
51l,12,416,Y6,12
131m,13,407,Y6,12
100n,14,407,Y6,12
1o,15,436,Y6,12
27p,16,411,Y6,12
141q,18,385,Y6,12
84r,19,431,Y6,12
3s,20,423,Y6,12
50t,21,415,Y6,12
12u,22,426,Y6,12
41v,23,400,Y6,12
16w,25,404,Y6,12
121x,27,440,Y6,12
31a,1,389,Z1,13
101b,2,365,Z1,13
46c,3,416,Z1,13
18d,4,425,Z1,13
25e,5,416,Z1,13
93f,6,367,Z1,13
86g,7,450,Z1,13
59h,8,425,Z1,13
120i,9,394,Z1,13
137j,10,432,Z1,13
79k,11,401,Z1,13
48l,12,409,Z1,13
60m,13,403,Z1,13
100n,14,407,Z1,13
143o,15,389,Z1,13
64p,16,370,Z1,13
2q,18,408,Z1,13
84r,19,431,Z1,13
49s,20,421,Z1,13
99t,21,428,Z1,13
12u,22,426,Z1,13
5v,23,380,Z1,13
52w,25,415,Z1,13
116x,27,403,Z1,13
95a,1,410,Z2,14
32b,2,414,Z2,14
67c,3,437,Z2,14
123d,4,419,Z2,14
106e,5,404,Z2,14
13f,6,444,Z2,14
19g,7,389,Z2,14
28h,8,418,Z2,14
14i,9,393,Z2,14
70j,10,374,Z2,14
102k,11,399,Z2,14
96l,12,427,Z2,14
15m,13,416,Z2,14
76n,14,431,Z2,14
58o,15,430,Z2,14
97p,16,407,Z2,14
141q,18,385,Z2,14
22r,19,451,Z2,14
30s,20,375,Z2,14
82t,21,375,Z2,14
69u,22,381,Z2,14
53v,23,436,Z2,14
115w,25,395,Z2,14
11x,27,410,Z2,14
56a,1,429,Z3,15
72b,2,414,Z3,15
136c,3,411,Z3,15
37d,4,407,Z3,15
21e,5,408,Z3,15
68f,6,398,Z3,15
34g,7,399,Z3,15
127h,8,388,Z3,15
44i,9,431,Z3,15
33j,10,399,Z3,15
9k,11,425,Z3,15
125l,12,404,Z3,15
36m,13,395,Z3,15
122n,14,443,Z3,15
89o,15,379,Z3,15
80p,16,376,Z3,15
55q,18,421,Z3,15
54r,19,382,Z3,15
3s,20,423,Z3,15
24t,21,407,Z3,15
85u,22,429,Z3,15
128v,23,428,Z3,15
42w,25,383,Z3,15
29x,27,398,Z3,15
133a,1,415,Z4,16
132b,2,394,Z4,16
113c,3,426,Z4,16
63d,4,372,Z4,16
77e,5,427,Z4,16
130f,6,429,Z4,16
142g,7,419,Z4,16
75h,8,388,Z4,16
88i,9,426,Z4,16
103j,10,425,Z4,16
35k,11,456,Z4,16
105l,12,411,Z4,16
131m,13,407,Z4,16
65n,14,412,Z4,16
45o,15,400,Z4,16
27p,16,411,Z4,16
47q,18,402,Z4,16
126r,19,411,Z4,16
138s,20,418,Z4,16
50t,21,415,Z4,16
26u,22,409,Z4,16
117v,23,410,Z4,16
16w,25,404,Z4,16
121x,27,440,Z4,16
17a,1,400,Z5,17
94b,2,416,Z5,17
7c,3,429,Z5,17
91d,4,419,Z5,17
57e,5,363,Z5,17
38f,6,391,Z5,17
62g,7,372,Z5,17
20h,8,393,Z5,17
61i,9,403,Z5,17
4j,10,399,Z5,17
139k,11,405,Z5,17
8l,12,374,Z5,17
98m,13,372,Z5,17
23n,14,391,Z5,17
119o,15,408,Z5,17
10p,16,394,Z5,17
90q,18,429,Z5,17
43r,19,399,Z5,17
83s,20,429,Z5,17
39t,21,402,Z5,17
140u,22,403,Z5,17
41v,23,408,Z5,17
144w,25,435,Z5,17
71x,27,382,Z5,17
104a,1,364,Z6,18
6b,2,386,Z6,18
78c,3,363,Z6,18
112d,4,445,Z6,18
129e,5,402,Z6,18
107f,6,424,Z6,18
108g,7,397,Z6,18
110h,8,366,Z6,18
134i,9,377,Z6,18
92j,10,396,Z6,18
66k,11,372,Z6,18
51l,12,416,Z6,18
87m,13,453,Z6,18
40n,14,375,Z6,18
1o,15,436,Z6,18
124p,16,431,Z6,18
118q,18,438,Z6,18
114r,19,408,Z6,18
111s,20,405,Z6,18
135t,21,400,Z6,18
109u,22,406,Z6,18
74v,23,420,Z6,18
81w,25,423,Z6,18
73x,27,422,Z6,18
